epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,7347.9,1.69479,0.24999,0.34017,0.76797,0.00227,0,0.86813,0.66262,0.73345,0.40401,0,0,0,0,1.75477,0,7.1615,0.81971,0.00364,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7436.64,1.70018,0.25305,0.34288,0.76263,0.00222,0,0.86893,0.66242,0.73351,0.40388,0,0,0,0,1.75479,0,7.18589,0.81981,0.00364,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7528.31,1.68168,0.25109,0.33395,0.75008,0.00222,0,0.86834,0.66274,0.73337,0.40386,0,0,0,0,1.75483,0,7.20966,0.82048,0.00364,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7616.23,1.67772,0.252,0.32739,0.7484,0.00224,0,0.86721,0.663,0.73308,0.40386,0,0,0,0,1.75444,0,7.22801,0.82171,0.00364,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7703.31,1.68444,0.25121,0.33512,0.75473,0.00222,0,0.86775,0.66284,0.73303,0.40388,0,0,0,0,1.75464,0,7.24865,0.82262,0.00364,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7790.6,1.66304,0.23995,0.31882,0.74966,0.00223,0,0.86845,0.66288,0.7333,0.40393,0,0,0,0,1.75481,0,7.27062,0.82244,0.00364,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7879.6,1.67019,0.24818,0.32949,0.74195,0.00219,0,0.86803,0.66344,0.73325,0.40384,0,0,0,0,1.75507,0,7.29447,0.82229,0.00364,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7967.59,1.68186,0.23974,0.31209,0.75706,0.0022,0,0.86725,0.66388,0.7333,0.40401,0,0,0,0,1.75498,0,7.31923,0.82255,0.00364,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8055.79,1.67427,0.23423,0.31182,0.74843,0.00217,0,0.86756,0.66404,0.73328,0.40389,0,0,0,0,1.75484,0,7.34571,0.82336,0.00364,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8146.96,1.59359,0.18844,0.25963,0.70564,0.00233,0.0011,0.86702,0.66402,0.7332,0.4039,0,0,0,0,1.75564,0,7.36654,0.82283,0.00364,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8233.23,1.58778,0.19702,0.25092,0.70167,0.00229,0.00042,0.86755,0.66423,0.73334,0.404,0,0,0,0,1.7556,0,7.3929,0.82372,0.00364,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8318.4,1.57315,0.18503,0.24041,0.6959,0.00228,0,0.86775,0.66388,0.7331,0.40386,0,0,0,0,1.75554,0,7.41961,0.82466,0.00364,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8404.45,1.56428,0.19268,0.23829,0.68851,0.00225,0,0.86859,0.66411,0.73328,0.40388,0,0,0,0,1.756,0,7.44476,0.82394,0.00364,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8490.93,1.56642,0.18657,0.23516,0.68709,0.00225,0,0.8688,0.66348,0.73319,0.40376,0,0,0,0,1.7565,0,7.46949,0.82329,0.00364,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8577.46,1.55869,0.18813,0.22947,0.68876,0.00222,0,0.86906,0.66254,0.73293,0.40363,0,0,0,0,1.75638,0,7.49773,0.82402,0.00364,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8663.67,1.54233,0.18738,0.22392,0.67937,0.00221,0,0.86788,0.66338,0.73311,0.40375,0,0,0,0,1.75661,0,7.52857,0.82345,0.00365,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8752.59,1.54407,0.18177,0.22636,0.67771,0.00222,0,0.8685,0.66312,0.73297,0.40367,0,0,0,0,1.75638,0,7.55851,0.82418,0.00365,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8837.83,1.54316,0.17959,0.22727,0.67824,0.00218,0,0.86727,0.66353,0.73288,0.40368,0,0,0,0,1.75651,0,7.59127,0.82471,0.00365,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8923.15,1.52788,0.18645,0.22496,0.66933,0.0022,0,0.86803,0.66325,0.7328,0.40367,0,0,0,0,1.75666,0,7.62199,0.82548,0.00365,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
