epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,33394.2,1.97925,0.37322,0.56752,1.02937,0.00317,0.0039,0.83681,0.58858,0.67511,0.36619,0,0,0,0,1.81144,0,5.35666,0.92751,0.00436,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,33817.6,1.96957,0.37609,0.56329,1.02112,0.00314,0.00214,0.83648,0.58951,0.67562,0.36671,0,0,0,0,1.81189,0,5.39707,0.92522,0.00436,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,34247.5,1.97624,0.3725,0.5648,1.02855,0.00314,0.00182,0.83714,0.58878,0.67579,0.36661,0,0,0,0,1.81128,0,5.4189,0.92643,0.00436,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,34748.4,1.94481,0.37058,0.54185,1.00495,0.00317,0.00111,0.83523,0.58958,0.6756,0.36689,0,0,0,0,1.81163,0,5.44549,0.92537,0.00436,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,35709.2,1.97114,0.38314,0.55846,1.02227,0.00315,0.00081,0.83769,0.58888,0.67596,0.3672,0,0,0,0,1.81091,0,5.46306,0.9248,0.00435,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,36202.1,1.96627,0.36772,0.5605,1.01853,0.00314,0.00219,0.84042,0.58866,0.67626,0.36715,0,0,0,0,1.81052,0,5.48357,0.92463,0.00435,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,36662.6,1.9476,0.37465,0.54323,1.00099,0.0031,0,0.83855,0.58961,0.67632,0.36735,0,0,0,0,1.80977,0,5.51805,0.92458,0.00435,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,37270.1,1.95385,0.36658,0.54888,1.01869,0.00311,0.00101,0.83852,0.58989,0.67646,0.36709,0,0,0,0,1.81025,0,5.54364,0.92414,0.00435,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,38115.7,1.95645,0.36065,0.54243,1.00786,0.0031,0.00125,0.83843,0.59021,0.67678,0.36695,0,0,0,0,1.81022,0,5.56848,0.92433,0.00435,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,39009.2,1.93879,0.38059,0.54415,1.00185,0.0031,0.0006,0.83683,0.5912,0.67714,0.36706,0,0,0,0,1.81018,0,5.60036,0.924,0.00435,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,39549.2,1.93578,0.36434,0.54294,0.99755,0.00308,0.00169,0.83581,0.59203,0.67717,0.36692,0,0,0,0,1.80966,0,5.62011,0.92443,0.00435,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,40029.1,1.9346,0.35992,0.54171,1.0149,0.00309,0.00106,0.83562,0.59142,0.67727,0.36756,0,0,0,0,1.80903,0,5.63985,0.92427,0.00435,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,40809.9,1.94573,0.36521,0.54045,1.00451,0.00305,0.00071,0.83508,0.59193,0.67727,0.36706,0,0,0,0,1.80888,0,5.66257,0.92411,0.00435,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,41414.5,1.95753,0.37103,0.5392,1.01204,0.00307,0.00045,0.8358,0.59112,0.67724,0.36706,0,0,0,0,1.80834,0,5.68168,0.92464,0.00435,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,42185.3,1.93872,0.36704,0.53299,0.99663,0.00303,0.00095,0.83675,0.59104,0.67732,0.36717,0,0,0,0,1.80858,0,5.70442,0.92423,0.00435,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,42730.7,1.82348,0.29897,0.47046,0.94001,0.00345,0.00968,0.83772,0.59044,0.67744,0.36772,0,0,0,0,1.80838,0,5.71624,0.92379,0.00435,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,43306,1.81795,0.2982,0.45477,0.93584,0.0034,0.00692,0.83706,0.5912,0.67754,0.36795,0,0,0,0,1.80855,0,5.73057,0.92316,0.00435,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,43749.2,1.81406,0.28759,0.4548,0.92646,0.0034,0.00759,0.83779,0.59108,0.67791,0.36782,0,0,0,0,1.80841,0,5.74013,0.923,0.00435,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,44236.3,1.79965,0.29337,0.45085,0.91847,0.0034,0.00403,0.83794,0.59094,0.6779,0.36793,0,0,0,0,1.8086,0,5.74991,0.92277,0.00435,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,44693.7,1.80243,0.29598,0.44198,0.92437,0.00338,0.00467,0.83717,0.59122,0.67795,0.36778,0,0,0,0,1.80827,0,5.76231,0.92255,0.00435,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,45143.3,1.79616,0.29458,0.43664,0.91644,0.00337,0.00438,0.83714,0.59099,0.67804,0.36799,0,0,0,0,1.80858,0,5.77537,0.92256,0.00435,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,45597.8,1.79152,0.29007,0.43929,0.91147,0.00336,0.004,0.83734,0.59077,0.67805,0.36809,0,0,0,0,1.80847,0,5.78559,0.92216,0.00435,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,46916.9,1.79033,0.29218,0.4358,0.91137,0.00335,0.0026,0.83625,0.59157,0.67828,0.3683,0,0,0,0,1.80835,0,5.79865,0.92159,0.00435,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,47423.6,1.79618,0.29019,0.43262,0.91093,0.00332,0.00395,0.83562,0.59225,0.67848,0.36839,0,0,0,0,1.80845,0,5.81266,0.92144,0.00435,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,47995.3,1.79078,0.28946,0.43583,0.90941,0.00333,0.0026,0.83714,0.59182,0.67852,0.3688,0,0,0,0,1.80864,0,5.82577,0.92108,0.00435,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
